OTU	Cluster	IndVal	Prob	Domain	Phylum	Class	Order	Family	Genus				Cluster#	
Otu00088	5	0.437155318	0.011	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Dokdonella					
Otu00108	5	0.432992382	0.022	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Dokdonella					
Otu00127	5	0.922182072	0.001	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Conexibacteraceae	Conexibacter					
Otu00135	5	0.376197063	0.05	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium					
Otu00152	5	0.461736426	0.005	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia					
Otu00170	5	0.507248697	0.017	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagales_unclassified	Cytophagales_unclassified					
Otu00184	5	0.391928943	0.02	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified					
Otu00191	5	0.538882038	0.001	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_unclassified	Rhizobiales_unclassified					
Otu00223	5	0.555858387	0.004	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Dongia					
Otu00031	6	0.4765914	0.011	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Dyella					
Otu00066	6	0.333546214	0.041	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacteraceae_unclassified					
Otu00103	6	0.379057125	0.004	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Chitinophagaceae_unclassified					
Otu00109	6	0.432258185	0.018	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified					
Otu00115	6	0.469836662	0.007	Bacteria	Verrucomicrobia	Subdivision3	Subdivision3_unclassified	Subdivision3_unclassified	Subdivision3_unclassified					
Otu00121	6	0.553739497	0.002	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified					
Otu00136	6	0.347681333	0.042	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified					
Otu00138	6	0.374603063	0.008	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium					
Otu00166	6	0.370698812	0.05	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacteriaceae_unclassified					
Otu00171	6	0.491793653	0.002	Bacteria	Verrucomicrobia	Subdivision3	Subdivision3_unclassified	Subdivision3_unclassified	Subdivision3_unclassified					
