plate_type,Row,Well,Substance,group
PM3B,E,11,N-acetyl-D glucosomine,modified sugars
PM3B,F,11,uridine,nucleosides and nucleotides
PM3B,G,11,amino-N valeric acid,modified carboxylic acids 
PM3B,H,11,gly-met,oligopeptides
PM3B,A,12,L-glutamic acid,L-amino acids
PM3B,B,12,L-tryptophan,L-amino acids
PM3B,C,12,L-ornithine,L-amino acids
PM3B,D,12,agmatine,amines
PM3B,E,12,N-actyle-D galactosamine,modified sugars
PM3B,F,12,inosine,nucleosides and nucleotides
PM3B,G,12,alpha amino-N valeric acid,modified carboxylic acids 
PM3B,H,12,met-ala,oligopeptides
PM4A,A,1,negative control,p_control
PM4A,B,1,thiophosphate,inorganic 
PM4A,C,1,phosphophenol pyruvate,phospho-sugars
PM4A,D,1,D-mannose-1-phosphate,phospho-sugars
PM4A,E,1,O-phospho-D-tyrosine,p_modified amino acids 
PM4A,F,1,negative control,s_control
PM4A,G,1,N-acetyl-L cysteine,p_modified amino acids 
PM4A,H,1,L-Djenkolic acid,p_modified amino acids 
PM4A,A,2,phosphate,inorganic 
PM4A,B,2,dithiophosphate,inorganic 
PM4A,C,2,phospho-glycolic acid,phospho-sugars
PM4A,D,2,D-mannose-6-phosphate,phospho-sugars
PM4A,E,2,O-phospho-L-tyrosine,p_modified amino acids 
PM4A,F,2,sulfate,inorganic 
PM4A,G,2,S-methyl-L-cysteine,p_modified amino acids 
PM4A,H,2,thiourea,other organic 
PM4A,A,3,pyrophosphate,inorganic 
PM4A,B,3,"D,L-alpha glycerol phosphate",phospho-sugars
PM4A,C,3,D-glucose-1-phosphate,phospho-sugars
PM4A,D,3,cysteamine-S-phosphate,p_modified amino acids 
PM4A,E,3,phosphocreatine,p_modified amino acids 
PM4A,F,3,thiosulfate,inorganic 
PM4A,G,3,cystathionine,p_modified amino acids 
PM4A,H,3,1-thio-beta-D glucose,p_modified sugars
PM4A,A,4,trimetaphosphate,inorganic 
PM4A,B,4,beta-glycerol phosphate,phospho-sugars
PM4A,C,4,D-glucose-6-phosphate,phospho-sugars
PM4A,D,4,phospho-L-arginine,p_modified amino acids 
PM4A,E,4,phosphoryl choline,other organic 
PM4A,F,4,tetrathionate,inorganic 
PM4A,G,4,lanthionine,p_modified amino acids
PM4A,H,4,"D,L lipoamide",other organic 
PM4A,A,5,tripolyphosphate,inorganic 
PM4A,B,5,carbamyl phosphate,phospho-sugars
PM4A,C,5,2-deoxy-D-g6p,phospho-sugars
PM4A,D,5,O-phospho-D-serine,p_modified amino acids 
PM4A,E,5,O-phosphoryl-ethanolamine,other organic 
PM4A,F,5,thiophosphate,inorganic 
PM4A,G,5,glutathione,oligopeptides
PM4A,H,5,taurocholic acid,other organic 
PM4A,A,6,triethylphosphate,inorganic 
PM4A,B,6,D-2-phosphoglyceric acid,phospho-sugars
PM4A,C,6,D-glucosamine-6-phosphate,phospho-sugars
PM4A,D,6,O-phospho-L-serine,p_modified amino acids 
PM4A,E,6,phosphono acetic acid,other organic 
PM4A,F,6,dithiophosphate,inorganic 
PM4A,G,6,"D,L-ethionine",D-amino acids
PM4A,H,6,taurine,p_modified amino acids 
PM4A,A,7,hypophosphite,inorganic 
PM4A,B,7,D-3-phosphoglyceric acid,phospho-sugars
PM4A,C,7,6-phosphate gluconic acid,phospho-sugars
PM4A,D,7,O-phospho-L-threonine,p_modified amino acids 
PM4A,E,7,2-aminoetyle phosphonic acid,other organic 
PM4A,F,7,L-cysteine,L-amino acids
PM4A,G,7,L-Methionine,L-amino acids
PM4A,H,7,hypotaurine,p_modified amino acids 
PM4A,A,8,adenosine-2-monophosphate,nucleosides and nucleotides
PM4A,B,8,guanosine-2-monphosphate,nucleosides and nucleotides
PM4A,C,8,cytidine-2-monophosphate,nucleosides and nucleotides
PM4A,D,8,uridine-2-monophosphate,nucleosides and nucleotides
PM4A,E,8,methylene diphosphonic acid,other organic 
PM4A,F,8,D-cysteine,D-amino acids
PM4A,G,8,D-Methionine,D-amino acids
PM4A,H,8,p-amino benzene sulfonic acid,other organic 
PM4A,A,9,adenosine-3-monophosphate,nucleosides and nucleotides
PM4A,B,9,guanosine-3-monophosphate,nucleosides and nucleotides
PM4A,C,9,cytidine-3-monophosphate,nucleosides and nucleotides
PM4A,D,9,uridine-3-monophosphate,nucleosides and nucleotides
PM4A,E,9,thymidine-3-monophosphate,nucleosides and nucleotides
PM4A,F,9,L-cysteinyl-glycine,oligopeptides
PM4A,G,9,glycyl-L-methionine,oligopeptides
PM4A,H,9,butane sulfonic acid,other organic 
PM4A,A,10,adenosine-5-monophosphate,nucleosides and nucleotides
PM4A,B,10,guanosine-5-monophosphate,nucleosides and nucleotides
PM4A,C,10,cytidine-5-monophosphate,nucleosides and nucleotides
PM4A,D,10,uridine-5-monophosphate,nucleosides and nucleotides
PM4A,E,10,thymidine-5-monophosphate,nucleosides and nucleotides
PM4A,F,10,L-cystic acid,other organic 
PM4A,G,10,"N-acetyl-D,L methionine",p_modified amino acids 
PM4A,H,10,2-hydroxyethane sulfonic acid,other organic 
PM4A,A,11,"adenosine-2,3-cyclic monophosphate",nucleosides and nucleotides
PM4A,B,11,"guanosine-2,3-cyclic monophosphate",nucleosides and nucleotides
PM4A,C,11,"cytidine-2,3-cyclic monophosphate",nucleosides and nucleotides
PM4A,D,11,"uridine-2,3-cyclic monophosphate",nucleosides and nucleotides
PM4A,E,11,inositol hexaphosphate,phospho-sugars
PM4A,F,11,cysteamine,p_modified amino acids 
PM4A,G,11,L-methionine sulfoxide,p_modified amino acids 
PM4A,H,11,methane sulfonic acid,other organic 
PM4A,A,12,"adenosine-2,5-cyclic monophosphate",nucleosides and nucleotides
PM4A,B,12,"guanosine-3,5-cyclic monophosphate",nucleosides and nucleotides
PM4A,C,12,"cytdine-3,5-cyclic monophosphate",nucleosides and nucleotides
PM4A,D,12,"uridine-3,5-cyclic monophosphate",nucleosides and nucleotides
PM4A,E,12,"thymidine-3,5-cyclic monophosphate",nucleosides and nucleotides
PM4A,F,12,L-cysteine sulfinic acid,p_modified amino acids 
PM4A,G,12,L-methionine sulfone,p_modified amino acids 
PM4A,H,12,tetramethylene sulfone,other organic 
